state,Pop2020,flower
Alabama,4918689,Camellia
Alaska,727951,Forget Me Not
Arizona,7399410,Saguaro Cactus Blossom
Arkansas,3025875,Apple Blossom
California,39562858,California Poppy
Colorado,5826185,White and Lavender Columbine
Connecticut,3559054,Mountain Laurel
Delaware,982049,Peach Blossom
Florida,21711157,Orange Blossom
Georgia,10723715,Cherokee Rose
Hawaii,1411151,Hibiscus
Idaho,1823594,Syringa
Illinois,12620571,Purple Violet
Indiana,6768941,Peony
Iowa,3161522,Wild Prairie Rose
Kansas,2915269,Sunflower
Kentucky,4474193,Goldenrod
Louisiana,4637898,Magnolia
Maine,1349367,White Pine Cone and Tassel
Maryland,6055558,Black-Eyed Susan
Massachusetts,6902371,Mayflower
Michigan,9989642,Apple Blossom
Minnesota,5673015,Pink and White Lady Slipper
Mississippi,2971278,Magnolia
Missouri,6153233,White Hawthorn Blossom
Montana,1076891,Bitterroot
Nebraska,1943202,Goldenrod
Nevada,3132971,Sagebrush
New Hampshire,1365957,Purple Lilac
New Jersey,8878355,Violet
New Mexico,2100917,Yucca Flower
New York,19376771,Rose
North Carolina,10594553,Dogwood
North Dakota,766044,Scarlet Carnation
Ohio,11701859,Mistletoe
Oklahoma,3973707,Oregon Grape
Oregon,4253588,Mountain Laurel
Pennsylvania,12803056,Violet
Rhode Island,1060435,Yellow Jessamine
South Carolina,5213272,Wild Prairie Rose
South Dakota,890620,Pasque Flower
Tennessee,6886717,Iris
Texas,29363096,Bluebonnet
Utah,3258366,Sego Lily
Vermont,623620,Red Clover
Virginia,8569752,Dogwood
Washington,7705917,Pink Rhododendron
West Virginia,1780003,Rhododendron
Wisconsin,5837462,Wood Violet
Wyoming,579917,Indian Paintbrush
